,정제된 댓글,label
1493,외놈들 연기금에 제대로 당하네,1
1494,글로벌 불황 현실이 된다,0
1495,거짓말한다고 죽여버리면,0
1496,그년이 첫날부터 소복입고 지롤해서,0
1497,남자는 사달라기 전에는 뭘 좋아할 지 모,1
1498,석렬이일으키는 핵전쟁에 장사 없다,0
1499,삼전도 시들시들,0
1500,마하쎄븐 알지 주식투자대가 이번에,1
1501,도리야 우면산에 사드설치해도 강남늙다,1
1502,집값폭등 재난이다,0
1503,대들 니들도 부동시든 뭐든 군대,0
1504,뉴스타파 박형준 사건봐라 대한민국 최고의,1
1505,진격의개미 놀랍다 놀라워,1
1506,홍남기 해임에 동참해 주세요,0
1507,무엇을 걱정하나,0
1508,듣기 싫은,0
1509,반등은 있어도 상승은 없다,0
1510,난 아파트 주식 잘 모르는데,1
1511,주가조작 얘기는 싹 피하네 떡열이 떡실신,0
1512,경상디언 흉노 왜 금지어,0
1513,재앙이가 만든 국가부채,0
1514,지금이 바닥입니다 부자되시고 싶으시면,1
1515,문재인 대통령님 감사합니다,1
1516,역시 이재용 믿고 따라간다,1
1517,재앙아 나라빛 늘린거 반성해라,1
1518,삼전게시판은 또라이들 왜케 많음,1
1519,진짜 더럽게 안간다,0
1520,살아 생전 코스피 천본걸 감사해라,1
1521,오르기도 힘들지만 내리기도 힘든 삼전,0
1522,대만 핵보유론 부상 대만 핵,0
1523,국민의 짐,0
1524,똥을 똥이라 하지 못하고 아버지를,0
1525,포스트 코로나 대기업 올림픽 수혜 종,1
1526,전과 범인가 이명박 남로당 빨갱이 박,0
1527,역사를 잘알고 현실을 잘아는 똑똑한 젊은,1
1528,반일감정을 부추겨서 나라를 중국에 바침,0
1529,멍청이 기관들 어제 제대로 당하더니,1
1530,주식 초고수익 고수들,1
1531,미친 연기금 삼성팔아 카뱅산다,0
1532,크게 사기치는 것이 성공의 필수가 된 나,1
1533,선거관리부는 도둑놈관리부다,0
1534,마녀의 저주가,0
1535,횡령및 배임은 확정이고 이제 감물 제일모,0
1536,대장동주역 윤석열 곽상도 박영수 다 해,0
1537,찢점열 찢 어진 패지라도 주,1
1538,부동산대책으로 계속 거짓말하는 정부 말,0
1539,옛날에 프랑스가 어떻게 국가 정신 민족정,1
1540,세계에서 가장불쌍한,0
1541,먹튀 외인투기세력과 금융마피아는 공생 관,0
1542,부산 기독인 총연합 윤석열 후보 지지,0
1543,기독교인의 환상과 거짓말 환상에 사는 기,0
1544,반도체 부족 품귀현상 가격 급등,0
1545,머리 좋은 놈은,1
1546,감사합니다,1
1547,얄밉게 떠난님,0
1548,내리는것도 좋은 삼전,1
1549,감사합니다 드디어 강남갑니다,1
1550,지지지지,0
1551,대한민국의 심각성,0
1552,예수님믿고 구원을 얻으세여 죽음은 누구에,0
1553,불안하냐,0
1554,고려 대학교 우습게 가는방법,0
1555,미국놈들 빨갱이 들 망해가는 모습 선하다,1
1556,석가모니에게 가르침을 준새벽별예수,1
1557,저주 받은땅,0
1558,윤석렬 머리도 완전 좋아 정치적 감각,1
1559,그리운 쌍봉댁,1
1560,나를위해 이재명,0
1561,코로나 시대 케미칼 우 강추,1
1562,그년이 한탕해주면 안되냐,0
1563,일관성은 어리석음,0
1564,최악 문재인 정부,0
1565,니네들은 문통한테 감사해야해 방역도 이렇,1
1566,솔직히 전정부 잘못이 맞긴하지,0
1567,역대 대통령 잘한 순위,1
1568,양도세 미친 대악재,0
1569,아직도 더불어공산당 지지하는 짐승같은것들,0
1570,저래도 지지를 해,0
1571,이죄명이 친형을 정 병원에 강제구금,1
1572,축하드립니다 아이폰 별거 없습니다,1
1573,최악 지났나 증시 상승 유가,0
1574,삼전이 우울하다 미래전략이 불안하다,0
1575,아 미안하다 실수로 매도 눌러서 동시호가,0
1576,고맙다 삼전,1
1577,문죄명 언제 감옥 가나요 감옥 마려워요,0
1578,조현병 환자는 주식하면 안된다,0
1579,더러운 언론 검찰들,0
1580,빨리라 쾌감이 올것이다,1
1581,죄인이가 빨갱이 아닌 척만 했어도,0
1582,가족과 국가를 파괴하는 종교 개독,0
1583,매력있구만 공포에사서,0
1584,전라도 공산당 대량학살 하고 반성없다,0
1585,삼전주식 지루하다,0
1586,광고쟁이 정치쟁이들은 나가라 지겹다,0
1587,전부 때려치고 금요일이고 삼바나 삼성에,0
1588,사랑해요 삼성,1
1589,십원한장 손해시킨 일 없다,0
1590,좌빨 대깨문들이 주식하는게 웃김,0
1591,외인 공격에 기관이 방어 개인이 지지,0
1592,폭락장 일간 프로 수익 올린 비결 공,1
1593,테국기잔당떨마니니 비참한 최후보라,0
1594,이죄명 문죄인언제 감옥 가나요,0
1595,진보가 교육수준이 높다 우기는데,1
1596,의혹 집요하게 매달렸으나 역공에,0
1597,대한민국 최고의 악,1
1598,만원 유지위해 반삼성 정권 교체필수,1
1599,진짜 공포다 있는 주식 싹다 팔았다,0
1600,형들 만찍고서 아이때가 저렴한주가였구,0
1601,이재명이는 사면 없다,0
1602,건들건들 멍한 윤석두,0
1603,명 사건이 전라도면 큰데 경상 도라,0
1604,아휴 뉴스걱정 그만해라,0
1605,삼전으로 또 수익이네 미친기법 굿,1
1606,희망이 안보임 곧 공매도 시작 전 코,1
1607,김진테 민경옥 마리 패 당하다 뭔,0
1608,윤석열 지지율 고공행진하니까,0
1609,축하드려요,1
1610,김정은이 때려 잡는 사람,0
1611,무서운 세상이래,0
1612,미 증시 미친 폭등이다,0
1613,존버는 승리 한다,1
1614,재용이 다시 감옥 쳐 넣어라,0
1615,나라사랑 회사사랑,1
1616,틀닥아 먼 헛소리여,0
1617,말씀 감사,1
1618,말씀 감사,1
1619,세기에 한명 나오기 힘든 간신배,0
1620,우둔한 어르신들이 지지하는,0
1621,민주당 지선 승리하려면,1
1622,이재명은 끝났어요 오늘자 지지율 조사,0
1623,좌파들은 북한식 인민재판을 바라는데 정,1
1624,재앙이는 마누라에게 잡혀사나,0
1625,무주택자에 대한 주택공급을 신속하고 편리,1
1626,조민 가짜 경력 건 한영외고 생활기록,0
1627,좀 도둑 잡범이나 잡던 칼잡이들이 나라를,0
1628,대깨윤은 질병입니다,0
1629,남 계좌 걱정해주는 안티들,0
1630,상반기에는 무조건 오르니까 걱정마라,0
1631,오늘개인 조매수는 잘못이었나,0
1632,비싸게사서 싸게팔아주는 천사,1
1633,아 시부뤠 문 때는 돈 잘 벌었는데,1
1634,바이든 대중관세 철폐 관련해 아직 결정,0
1635,삼토방에서 문죄인 재앙 문준용 운운깽판,0
1636,삼성전자 브랜드 가치 조원 국내 최,1
1637,진짜 추하다 추해,0
1638,윤 깡통과 콜걸의 최대 업적,1
1639,백신도 못맞는 더러운 세상 재앙아,0
1640,역시는 역시죠 뭘 기대하고앉았냐,1
1641,일본보다 이놈들이 더 골치아픈 문제,0
1642,팩트 상식 무기로 싸웠다 한동훈 독,0
1643,갭십떡락 박스이탈시작 지옥을보즈아,0
1644,개관 노름에 빨리지마라,0
1645,반도체 생산력 강세 만원,1
1646,윤석열 인정하는거 하나,1
1647,결국 조만간 전고점닿는다 걱정마라,0
1648,두려워하지 마세요,0
1649,한국의 민주주의는 지나치다,0
1650,단독 김정숙 한복 벌 구두 켤,0
1651,대바닥 드디어 때가 왔다,0
1652,역시 삼성 최고,1
1653,문완용아 소득주도폭망 말도안하냐 위장평화,1
1654,삼전 중기 차 지지선,0
1655,축하합니다,1
1656,머저리 윤석열땜에 선재타격 우리 주식,0
1657,대통령 잘못 뽑아 고생이다,0
1658,착하고 선한 이재용 부회장님,1
1659,오늘 떨어졌다고 함부로 추매하면 안되죠,0
1660,실적 별로 좋게 안나왔네,1
1661,기도가 부족해서 그런겁니다,0
1662,윤석열 대통령이 인기 높아지려면,1
1663,윤석열 업적,1
1664,개성 연락사무소 폭파,1
1665,폭동없이 붕궤된 공산주의는 없다,0
1666,삼성 배당금만 받아도 즐거워,1
1667,윤씨가 사람이 좋다고,1
1668,미장 지옥이였다,0
1669,악마괴멸,0
1670,삼성반도체에서 뭐하나 안전보건 담당자,1
1671,개관아 클라스 보여줘,1
1672,워치 다음주 사러간다 기분좋게 사러,1
1673,벼락거지들 분노 좌절,0
1674,디커플링 선 제대로 넘네,1
1675,삼전이 망하는 주식도 아니고,0
1676,특사를 기대합니다,1
1677,칠십대가 본 토론,1
1678,오늘의 교훈,1
1679,페미니즘 외치는 민주당의 성추행 업적,1
1680,아쉬움을 뒤로하고,0
1681,원자재가 강세의 상황이 필요한,1
1682,김만배 손바닥 에서 벗어날 수 없다,0
1683,대통령 이라하기가 창피하다,0
1684,매물벽이 두텁다,1
1685,민주당 지지율,0
1686,부정한 돈 원 도 없다 는 박근혜,0
1687,뒷집 히스테리 심,0
1688,전두환은 정말 대한민국을 걱정하는 대통령,0
1689,나스닥 이시간 거래량 없다 속지마,0
1690,김건희는 주가 사기친 범죄자다,0
1691,가난뱅이가 보수인 척 한다고,0
1692,와이프 몰래 옆집,0
1693,추 지지직 휴스턴 휴스턴 응답하라 여기는,0
1694,역사상 제일 어려운 시기에,0
1695,주식 도 모르는 사람인데요,0
1696,판놈은 손해봤고 들고 쥔놈은 딸것이고,0
1697,우파나 보수에서 멍청해 보이는 용어 두가,0
1698,대주주 요건 완화에 대해 가난한 개미들이,0
1699,국내 쓰레기 언론인것은 국민 대다수 인정,1
1700,비공감 많을수록 좋아,1
1701,박원순 시장 업적이 뭐냐,1
1702,이재명 승리 확정 후,1
1703,중국 바이러스 연구소,0
1704,실적좋다고 뉴스나오더만 오늘왜이래,1
1705,이준석 싸움닭이라 적이 너무 많다,1
1706,윤석열 장모 고리사채 의혹 한달 이,0
1707,삼전은 혁신해야지 아니면 매력없어,1
1708,주한미대사와 박근혜목에 칼들이대고 대한독,0
1709,떨어지면 매수하면되지 유럽은 좋고,1
1710,경상도분들 점심식사 맛있게 드셨어요,1
1711,년에 조개 톤 싫은 배밑에,0
1712,지지율 갈수록 추락 심각,0
1713,영원한 진리 개미가 사면 항상 상투,1
1714,몽둥이로 때려잡자,0
1715,젖도 모르는 이재용 강판시키고,0
1716,경상도는 진주산성 싸움을 생각해라,0
1717,윤석열 지지자 특징,0
1718,자본주의의 혜택을 누리면서 자본주의를 부,1
1719,승자에겐 축하와 겸손 패자에겐 위로,1
1720,무능력,0
1721,지수 상승을 위한 가짜 상승 기술적 반,0
1722,전세계 기업을 통틀어봐도 삼전보다 우수한,1
1723,고점 쌍봉은 폭락도 모르는 주린이들,0
1724,미국은 전쟁지역에 참가해,0
1725,유튜버들 믿지마라 지덜 현금화 하려고,0
1726,살인마 조카는 좋겠다,0
1727,눈물이,0
1728,원 주주 편안,1
1729,이재명 주식시장 혁신하겠다,1
1730,연봉차트 지지선이 다,0
1731,오늘 잘 땐 약이래두 꼭,1
1732,부럽다 하이닉스,0
1733,삼성전자폭락은 외국인 이익손싫에 코스피자,1
1734,걱정마라,0
1735,삼프로 보고도 헛소리하는 거면,0
1736,노조때문에 불안해서 투자못하겄어,0
1737,문가놈 종전선언후 북한 괴물 도,0
1738,축 장제원 비서실장 캬 멋지다,1
1739,부자가 되고 싶어,1
1740,문재앙 뽑아서 죄,0
1741,김정숙 여사 의상 사비로 부담 특,0
1742,저주 처 먹고,0
1743,상도와 틀딱들의 작품인 도리의 업적,1
1744,반대매매로,0
1745,졸라도가 악의축 모든 악의 근원,0
1746,깽깽이 폭도진압 은 필수,1
1747,방역 조까는소리 문어벙아 뭐 경제도 잘,1
1748,이재명 지지하는지 수준은,0
1749,연기금 또 파네 이건 음모다,0
1750,박정희 대통령님 감사합니다,1
1751,삼전 주주 여런분 미인하지만,1
1752,우파의 모순,0
1753,이재명 대통령 될까봐 국민이 불안해,0
1754,얄팍한 민주주의 지지자들에게 경종 울리,0
1755,입만 열면 거짓말 투성이에다 철지난 북풍,0
1756,야간 선물 없으니 존나 불편하네,0
1757,윤석열 왜 지지하는지 이유가 궁금함,0
1758,영웅은 위선자정권 떠난다그러고 간신들은,1
1759,할배가 가장 좋아하는 돈,1
1760,대원군이 욕 먹는 이유,0
1761,주가가 내리는 거 좋아하는 걸 보니 연기,1
1762,삼성 전자 부렌드 가치 조원 세계,1
1763,희망고문의 시작이네,1
1764,의혹인가 팩트인가,0
1765,세 어미 문맹 땅 매매 미친,0
1766,삼성전자는 안전하다,1
1767,진짜 위험해 거리는 거 개미,0
1768,흐르상 이직 좋다,1
1769,정말 잘 썼는데,1
1770,층에서 먹튀한 인,0
1771,오늘 기분 좋다,1
1772,바보,0
1773,욕심을 부리면,0
1774,이재명 감옥언제가냐,0
1775,말씀 감사,1
1776,코로나 전염병 전국확산원흉이누구냐 교,0
1777,언론을 범죄자 취급하는 국민의 힘,0
1778,쭝국보다도 못한 떼한민국의 관광 인프라,0
1779,공매도 순기능 사랑스런 개미들,1
1780,그놈에 구만전자 보면모르나 십만전자인,0
1781,개미님들 축하합니다,1
1782,월 빅스텝 이벤트,1
1783,외인오빠들 딸라돈 맛 그리웠는데 잘,1
1784,어리석은 개미는 오늘도 탈탈 털렸네,0
1785,정당 지지율,0
1786,주식양도세도 모르는 것들이 약을 파네,0
1787,역대 최고 실적이라도 로 보면 아직,1
1788,우빨들아 여기에 헛소리말고 선물 매도해서,0
1789,동학개미들이 어렵게 주식시장 살려놨더니,0
1790,거짓말 하지마라,0
1791,원희룡이 인증한 제주도 맛집 리스트,1
1792,더불어 음모당은 유언비어제조기 헛소리좀,0
1793,화폐는 앞으로 으로 가치를 상실할것,1
1794,위급해 질려고 해,0
1795,원금 회복했거나 수익 조금이라도 났으면,1
1796,자본주의 시장경제를 부정하는 온갖 주가조,0
1797,개미들 희망고문하지마,1
1798,원 한장 피해안줬다 는 장모,0
1799,왜이래 지지 부진 하지,0
1800,서울시 보궐선거 패배,0
1801,사유재산압류는 시장경제 포기한 것,0
1802,인텔 대폭락 반도체 산업의 위기 신호탄,0
1803,미국에 투자하는 것이 무슨 좋은 소식이라,1
1804,엄마 왜 우리집은 가난해,0
1805,마음의 여유를 가져라,1
1806,개적폐 투기꾼 사기꾼놈들 초강력타도가 정,1
1807,문제인 일당 국가 찬탈하기 위한 가짜뉴,0
1808,문통의 업적,1
1809,개미들 겁나게 팔아되는구나,0
1810,삼성전자 산애들은 결국 부자됨,1
1811,중공은 부정한다 우한폐렴의 재확산을,0
1812,최고의 단타 종목,1
1813,원에 매수 수익실현 감사합니다,1
1814,나경원 아들딸 입시비리는 누가 보호해 주,0
1815,곱버스 수익나서 즐겁다,1
1816,비상경영 공포 매도,0
1817,김문기 아들의 눈물,0
1818,이재명 비천한 집안이라 뒤지면 더러운,0
1819,혜경궁김씨 공무원을 노예로 부렸네유 시상,0
1820,시간낭비 대퍽락 개미지옥굴,0
1821,공매도는 여자와 함께 사라졌어 멍충아,1
1822,근심말라 만삼성전자주주들 코스피,0
1823,보재명 이십대여자 지지율,0
1824,윤무식 지지하는,0
1825,추진할 돈이 없다,0
1826,와 저축은행 금리 코딱지다 잘 못,1
1827,노동자 멸시하는 윤석열,0
1828,나의 대선 지지동향,0
1829,봉사 표창장 의혹으로 년 형을 살게한,0
1830,한명숙전총리 죄수들 검사가 시켜서 거짓,0
1831,술자리에서 여성 폭행당하는데 동석한 경찰,0
1832,노인짐 불륜뇬,0
1833,오세훈 박영선은 신뢰가 안간다,1
1834,따뿔백들 실망이 크다,0
1835,말이 필요없다,0
1836,권력말기에 문재인 이재명에게 무릎굶다,0
1837,문재인을 존경한다,1
1838,어리석은 캐미는 오늘도 삼전 물타기,0
1839,비행기 소음 싫은사람은 이재명 뽑겟지,0
1840,백만프로 우리와 다투는 나쁜 사람들이 뒤,0
1841,니들 신앞에 나에대해,0
1842,초라한 죽음,0
1843,말씀 감사,1
1844,진짜 아파,0
1845,삼성 더럽게 안떨어지네,0
1846,말이 좋아 투자지,1
1847,재용이 깜빵가면 삼전은 더 잘 나감,1
1848,좋은글이 많으면 불안하던데,0
1849,번찍세들 전기 의료 민영화 하면,0
1850,왜 대통령은 퇴임후 감옥갈까,0
1851,짠하다 진짜,0
1852,아이큐 미만은 투표권 없다,0
1853,말씀 감사,1
1854,룸도 심하게 수술한 여자는 거르자,0
1855,바이든 이벤트로 오를거라고 생각하는 똥개,1
1856,뱀죄명의 쪽잡아째진 혐오스런 독사눈깔,0
1857,악마 전광훈이 때,0
1858,한국증시의 한계,0
1859,삼성전자 조정 끝 행복,1
1860,가족전체가 국민에게 피해 준 중대범죄자,0
1861,이정도면 나라가 걱정된다,0
1862,삼전이 긍정했더니,1
1863,윤석열 살인청부 게시글 수사중,0
1864,지나친 복지는란 오른 쪽 주머니에서 돈,0
1865,대깨윤들 참 우습다,0
1866,윤통 지지율 꼴아박고,0
1867,국민의힘 지지율 급락,0
1868,김정숙 여사 옷 최소 벌 횡령,0
1869,더럽고 치사해도,0
1870,클릭 실수로 들어왔지만 한마디 한다,0
1871,하늘 위에서 내려다 봐도 하나도 안 이쁜,1
1872,돈 없어서 물타기도 힘들어,0
1873,박근혜 불구속 계획했다고 거짓말,0
1874,국민이투표한 민주당 유토피아 다같이 잘,1
1875,주식 참 힘들다,0
1876,정치병 쓰래기들진짜,0
1877,고맙다 대깨문덕에 날라가네,1
1878,이자율 인상 번 젊은 아 들 돈삭제 시,1
1879,환경파괴 악마 문재인,0
1880,문재인은 고집이 없다,0
1881,문재앙이 무궁화 대훈장 자진수여받는 명분,0
1882,순종에 기쁘고 감사한말씀,1
1883,증말 노답이다,0
1884,적극 비중확대,1
1885,이명박 대통령님 감사합니다,1
1886,내일 출근하기 존나 싫다,0
1887,배 미친 폭등 종목,0
1888,니들 신용이 먼지 모르지,0
1889,무섭다 전라도,0
1890,개돼지들 문재인 문빠 대깨문 악마,0
1891,이재용 감옥있을때 주가 올랐다,0
1892,과연 이빨빠진 호랑이 해,0
1893,서울시 민주당의원들에게 고함,0
1894,삼성사랑,1
1895,문재인을 고사포로 쏴주겨야 개혁이 완성된,1
1896,작년 소가죽 벗기고 돼지 도열 해 놓고,0
1897,부자들이 성실할수도 있고 불법탈세,0
1898,허경영 지지율 나옴,0
1899,주주 배당이 늘 수록 회사 가치는 떨어짐,1
1900,가야해 가야해 나는 가야해,0
1901,자자 삼전과 함께하는 일신바이오,1
1902,어이없다,0
1903,문제는 코로나 감기가 아니라,0
1904,이재명의 죄,0
1905,우덜식 스포츠랑께요 성님들,0
1906,눈 속임,0
1907,겁나게,0
1908,미인박명,1
1909,공매 승리,1
1910,이재명 부드럽게 따뜻하게 이해찬의,1
1911,한국인 명 살해,0
1912,시외 월욜 강하게 올리겠다는 의지,1
1913,강력 지지력 추가 상승할 것,0
1914,전쟁없는 평화는 없다,0
1915,이 들아 미국에 공장짓는다는게 좋은,1
1916,삼성전자 여전히 전망은 밝다,1
1917,삼전 유튜브 간만에 재미있는거 나왔네요,1
1918,삼성전자 만은 시간이 싸움,0
1919,이죄명 형벌,0
1920,근현대사 독도를 부정한 매국노,0
1921,천원 벌기 힘들다,0
1922,이바보들아 칠수는 주가뿐이고 잘못하면 회,0
1923,여러분 욕심이 너무 크신데 지금 연상이,0
1924,야아 기분좋다,1
1925,부동산투기이익이 쥐꼬리세금투척 분배이익,1
1926,꼰대 문충이 틀닥 닥충이 에 지친,0
1927,부럽다 하이닉스,0
1928,꼰대문충이당엔 매국노후손 대통령 영정사진,0
1929,오늘도 주 줍줍 감사,1
1930,라희 할매 피눈물 흘리고 있겠네,0
1931,속보 커지는 대통령 주사 의혹,0
1932,나는 이렇게 생각해,0
1933,문재인은 한국 대통령인게 너무좋다,1
1934,많이벌고 많이 쓰는사람 수명짧다 반대는,0
1935,빨갱이들 발작하는거 보니 잘하고 있네,0
1936,군중심리 가장 비관적일 때 변곡이 나,0
1937,사실 야당이 쏟아내는 비판 여당비판,0
1938,감찰인사보니 미국 시장 폭락도 즐겁다,1
1939,대령통 잘못뽑았어,0
1940,다시 흰머리 인간사 초월한 노파로,1
1941,반도체 생산력 강세 만원,1
1942,아직까지 살마음없다,0
1943,캬 총알이 없다 하필 이때,0
1944,솔직히 비싸다,0
1945,봐 어리석고 비인,0
1946,추미애 최고의 업적은 라임 옵티머스 수,1
1947,인연이 아니라서 만나지는 사람들,1
1948,오우 저번주 추매하길 잘 네 잘 엉,1
1949,유퀴즈 출연에 게시판 몸살 유느,0
1950,번찍은애들은 돈 아도 할말없다,0
1951,전세를 비싼 월세로 돌리면 만원,0
1952,억 투자해 억 이재명과 화,0
1953,떨어져도 쫄지말고 홀딩해,0
1954,유시민 한동훈 명예훼손 혐의 실형 구,0
1955,집에선 왕 나가선 쫄 못난 가장,0
1956,털리면 지는거야 만가고 후회마,0
1957,이제 주식하면 패가 망신,0
1958,공매도 장례식 참여하고 부자되자 셀트리,1
1959,문재인 서민에게 고통을 이재명 서,0
1960,개돼지였던 국민들이 제대로 보기 시작했다,1
1961,이재명 조폭 연루설 부인에 의혹,0
1962,끈기없는개미들,1
1963,대한민국 최고 대통령 문재인 업적,1
1964,추세전환 성공,1
1965,재앙이도 출국금지 시켜라 더불당넘들 해외,0
1966,삼전 최소 천원 가잇서야 사실 정상이,1
1967,공감 부족한,0
1968,연기금 너네 나중에 후회하지말고 지금이라,0
1969,부정 선거와 화천대유 불법 비리가 있다,0
1970,감사합니다,1
1971,나쁜 놈들,0
1972,윤서방 코스피 코스닥도 민영화 하냐,0
1973,오세훈 내곡동에 갔냐구요 새빨간 거짓말,0
1974,무슨 민주당 엘리트 김현미 홍남기,1
1975,윤도리 집권후 주식장엔 되는게 없다,0
1976,여러분 화나고 열받지만 참읍시다,0
1977,알았냐 못난아,0
1978,와우 만전자 축하,1
1979,윤석열은 김건희한테 찍소리도 못하고 살,0
1980,윤석열은 모르는게 너무 많다,1
1981,지난 년 이런분 덕분에 감사합니다,1
1982,문대통령 욕을 시간동안 주식토론방에,0
1983,이땅에 정의롭고 진실한 사회가 되었,1
1984,주식 방송 뉴스 보고 삼전 사서 망하는,0
1985,지옥이네 지옥,0
1986,윤석열 도덕적인 음주운전 이란다,1
1987,거짓말 대잔치,0
1988,윤석열에게는 전혀 화가 안난다,0
1989,괜찮아 한 번 해본 놈이 잘해,1
1990,정권이 계속 교체되고 부정한 늠,0
1991,저런 황당한 글 써놓고 문재인 지지율 떨,0
1992,버티세요 고작 퍼입니다 낼올라요,0
1993,야들아 몽땅사놓았느냐 걱정말고 찍,0
1994,어이가 없어서 동학개미들 삼성을,0
1995,국힘 지지자는 정신병자,0
1996,하락장이 좋은 것 같아,1
1997,카뱅 안 사고 개성전자,1
1998,년차 주식 성공하려면,1
1999,경기민감주인데 은 아직도 최상위,1
2000,보수 새끼들 원래 폭력적이다,0
2001,코로나가 재난이 아니구요 돈이,0
2002,낼 빼냐 니미야,0
2003,승리의 불안함을 잊으려 술독,1
2004,문통은 서민들 걱정하여 공매금지 해주었,0
2005,러시아가 우크라이나를 쉽게 먹지 못하는,1
2006,친절한 투자 귀재 특별기고 문,1
2007,홍콩 지수 금융위기 저점도 붕괴할 것,0
2008,무섭다 무서워 공수처역대 독재정권과 하등,0
2009,불안 하지,0
2010,국민은 권력의 노예,0
2011,공매도좀 발 좀 어떡해,0
2012,아침에 미선물 오른다고 좋아한 사람 손,1
2013,모든이들의 연애학개론,1
2014,누가 요즘 국장해 미국사지,0
2015,삼성전자 대통령님께서 분노하셔 주는떡도,0
2016,디폴트 위기 헝다 정부에 지원 요,0
2017,삼전 당분간 반등 어렵다 셀트리온,0
2018,삼전같이 사고 팔며 이익 보기 얼마냐 편,1
2019,매수후 마음이 불안하면,0
2020,대통령 되어야할사람이 없다,0
2021,걱정된다,0
2022,믿을건 배당밖에 없다,0
2023,삼성이 성공했습니다 삼성전자 박사들이,1
2024,선진국들은 다 멍청해서 민영화 한줄 아냐,0
2025,경북대구 혜택받음 남원 서남의대가 신,1
2026,좌우간 위기의 세상입니더,0
2027,층 길막,0
2028,줌 주식 아무거나 사도 이득,1
2029,갭전자 사랑해주세요 국민여러분,1
2030,광주 전라도 이재명 지지율,0
2031,이재용 없어야 회사 더 잘 굴러간다,1
2032,하찮은 들풀들 조차 그냥 이름이 생겨,0
2033,정치인들이 허경영을 무서워한다,0
2034,오아 원고지다 진짜 오,0
2035,우리나라 최고의 기업인데,1
2036,배려 없는 정신나간 왼수들의 공격과 악성,0
2037,한국증시를 파괴하녀는 외국인들의 음모가,0
2038,민주당들은 왜이리 사전투표를 좋아할까,1
2039,졍신넉나간 배은망덕 고졸출신 양,0
2040,삼전 함부로 들어가면 망신당한다고 말씀드,0
2041,근데 삼성이 인기가많긴한가봐,1
2042,주둥아리만 터져가지고 아직도 나불나불,0
2043,때려쳐라 고마,0
2044,윤석렬 탄핵 시키고 국민의 짐 해체 시켜,0
2045,워렌버핏도 포기한 주식,0
2046,쩌번에 우리마실 바보형한티,0
2047,짜증,0
2048,폭력 남편,0
2049,애국 투표 나를위해 사전투표합시다,0
2050,과연 오늘도 개미들이 승리할까요,1
2051,무섭다,0
2052,중국을 버리고 일본에 빌붙는 국짐 친일정,1
2053,삼성전자 주식 최저가인 년 부터,1
2054,재앙이가 망쳐놨네,0
2055,윤 지지율 대로,0
2056,재앙이아들넘 잘못,0
2057,에 팔았는대 잘못했군,0
2058,에 팔았는데 눈물난다 잘되라 얘들,0
2059,이재명은 싸워보지도 못하고 죽나,0
2060,해외에서도 죽음의 월이라네요,0
2061,올해 만은 충분히 간다,1
2062,드러운 노조들,1
2063,연개관 손실로 후회 할듯,0
2064,말씀 감사,1
2065,왜 삼성갖고 그래 다 데 가서좀 해,0
2066,윤짜장의 능력은,1
2067,오늘도 수익 삼성전자 아모레 전자,1
2068,삼전 세일인가 조금만 주워볼까 흠,1
2069,삼성은 안 망해 투자자는 망할 수도,0
2070,주정뱅이나라 이것을 기대했냐,1
2071,지난 분기보다 프로 할인하는데,1
2072,악마에 장악되어,0
2073,새로운 유행어 춤이에 미츳써,1
2074,문정부 업적 세가지,1
2075,펀드매니져 말듣지 말고 공부해,0
2076,윤석열 대통령 시작 참 잘 한다,1
2077,삼성의 가치는 아직 멀엇다,1
2078,최고의 실적을 달성하고,1
2079,비타민 는 코로나 시대 필수 영양소,1
2080,반란 내란수괴 압재비 연,0
2081,류 정권의 급 독재 망상,0
2082,한동훈 새로운 영웅 탄생,1
2083,악의 삼각동맹 그 일단이 드러났다,0
2084,경북놈들이 악의 축인 이유을 보자,0
2085,위기는 기회다,0
2086,연말 특별배당준다 투자했으니 없다,0
2087,슬프다,0
2088,이명박이 국민을 위한 업적,1
2089,유로의 역사적 저점 도 깨진,0
2090,하락장 이제 시작 공포의 패닉,0
2091,문재인이 이뤄낸 개표중 참관인 협박,0
2092,재용오라버니 보구싶어 흑흑,0
2093,윤석렬 죄질이 나쁘다,0
2094,그놈대구경북놈맞지 졸라싹수없는괴시,0
2095,이수진 윤미향 손혜원 정수기 못난이 인,0
2096,노인들 코로나로 위험 전광훈이가 살해범,0
2097,삼전 가치가 오르려면 삼전 임직원들 급여,1
2098,체결강도가 어마 무시하구나,0
2099,총선 진짜 잘못했네,0
2100,버블 붕괴 없다,0
2101,짜증이 납니다,0
2102,청와대가 그리 좋은 줄 모르고 있다가,1
2103,말씀 감사,1
2104,장난질 진실,1
2105,주가하락 장점,1
2106,침략자 푸틴 나쁜 시키,0
2107,이재용의 삼성 강탈,0
2108,대한민국 정치판은 미래가 없다,0
2109,민주당 지지율 따라 주가도 나락가네요,0
2110,절망에 빠진 삼전 주주들,0
2111,문재인 이순신 친일파을 모조리 때려잡,0
2112,개잡주 클라스,1
2113,감사글,1
2114,너희들이 국가보안법을 무시해,0
2115,좌파정부를 찍은죄 재앙이다,0
2116,쥴리라는 별명 너무 귀엽다,1
2117,개미전자 이제는 종말이 다가왔다 씹만전자,0
2118,정치에 무관심 할 때,0
2119,투표 좀 잘 하셔,1
